Proposal Title,Contributor(s),Prof. Affiliations,Verticals (max 3),Authority,Funding,Misc.,Agency/Exec. Office,Full Proposal,Supporting documents
"Public Transit Innovation Policies and Funding 
","Nathaniel Horadam,""Alice Grossman, Ph.D."",Alex Beckmann",Center for Transportation and the Environment,"Auto & Transport,Innovation","New legislation,Existing authority",Funding,Stimulus,"DOT,DOE",Public Transit Innovation Policies and Funding .docx.pdf (https://dl.airtable.com/.attachments/a93362174f4af2948b4014b341c13229/c1650470/PublicTransitInnovationPoliciesandFunding.docx.pdf),
"Establish a Task Force to Address the Clean Energy Transition Impact on Coal and Power Plant Communities
","Alan Anderson,Vanessa Tutos,Beverly Jurenko","EDP Renewables, Inside Edge Consulting, University of Kansas School of Law","Energy,Equity & EJ",Existing authority,Fund no-fund option,Taskforce,"WH,DOE,DOC,DOL,HUD,VA",Establish a Task Force to Address the Clean Energy Transition Impact on Coal and Power Plant Communities.docx.pdf (https://dl.airtable.com/.attachments/3225b038d4be57fc3a9e67d7078a1dbc/f7e81e4d/EstablishaTaskForcetoAddresstheCleanEnergyTransitionImpactonCoalandPowerPlantCommunities.docx.pdf),
Hail the Maintainers: White House & Government Spotlight on Renewable Infrastructure Jobs to Honor & Encourage Maintenance Professionals,Piper Foster Wilder,60Hertz Microgrids,"Infrastructure,Equity & EJ,Energy",Existing authority,Fund no-fund option,"WH Press,Job Training,Challenges/Awards,Taskforce","DOC,DOT,USDA,DOE,WH",Hail the Maintainers_ White House & Government Spotlight on Renewable Infrastructure Jobs to Honor & Encourage Maintenance Professionals_docx.pdf (https://dl.airtable.com/.attachments/5c463ed192184c890b42e63d39c095d4/743cf1e9/HailtheMaintainers_WhiteHouseGovernmentSpotlightonRenewableInfrastructureJobstoHonorEncourageMaintenanceProfessionals_docx.pdf),
"Implementing a Diesel Replacement Investment Tax Credit to Parallel the Success of the Solar & Wind Investment Tax Credit (“ITC”) Program
","Pace Ralli,Volckert van Reesema,Elias Van Sickle,Jack MacWilliams","Switch Maritime
","Energy,Manufacturing & Onshoring,Shipping & Aviation",New legislation,Funding,Tax Credit,TREAS,Implementing a Diesel Replacement Investment Tax Credit to Parallel the Success  of the Solar & Wind Investment Tax Credit (“ITC”) Program.docx.pdf (https://dl.airtable.com/.attachments/6d9f55d6c2adbf7fb0bac88200b2ffaf/faa97d36/ImplementingaDieselReplacementInvestmentTaxCredittoParalleltheSuccessoftheSolarWindInvestmentTaxCreditITCProgram.docx.pdf),
"Expand MARAD’s Existing Capital Construction Fund (“CCF”) Program to Implement a Low-Carbon Vessel CCF (“LCV-CCF”) Fleet Renewal Incentive
","Pace Ralli,Volckert van Reesema,Elias Van Sickle,Jack MacWilliams",Switch Maritime,"Energy,Manufacturing & Onshoring,Shipping & Aviation",New legislation,Funding,Tax Credit,"TREAS,DOE,USCG,DOT",Expand MARAD’s Existing Capital Construction Fund (“CCF”) Program  to Implement a Low-Carbon Vessel CCF (“LCV-CCF”) Fleet Renewal Incentive.docx.pdf (https://dl.airtable.com/.attachments/39270373f7671cfef7ae52f385412d3a/ff18b469/ExpandMARADsExistingCapitalConstructionFundCCFProgramtoImplementaLow-CarbonVesselCCFLCV-CCFFleetRenewalIncentive.docx.pdf),
Modifying the Interpretation of EPA’s Existing D3 RIN Credit Program to Include Maritime Fueling as Qualified Transportation Fuel Usage,"Pace Ralli,Volckert van Reesema,Elias Van Sickle,Jack MacWilliams",Switch Maritime,"Energy,Manufacturing & Onshoring,Shipping & Aviation",New regulations,No funding,,EPA,Modifying the Interpretation of EPA’s Existing D3 RIN Credit Program to Include  Maritime Fueling as Qualified Transportation Fuel Usage_docx.pdf (https://dl.airtable.com/.attachments/03fec6fc5df9a268aebcc67f489d3922/e5bef2e0/ModifyingtheInterpretationofEPAsExistingD3RINCreditProgramtoIncludeMaritimeFuelingasQualifiedTransportationFuelUsage_docx.pdf),
"DOE Led CAFE-Style Performance Standards for HVAC
",Andy Frank,Sealed,"Buildings & Affordable Housing,Energy",Existing authority,No funding,,DOE,DOE Led CAFE-Style Performance Standards for HVAC.docx.pdf (https://dl.airtable.com/.attachments/08e4cb91ad1e4fae8e0c62f9b80d18b6/77892c99/DOELedCAFE-StylePerformanceStandardsforHVAC.docx.pdf),
Establish HUD-Led Interagency Commission to Create Rules That Require All Federally Funded Multi-Family Facilities to Meet Audited Decarbonization Targets to Retain Federal Funding,"Sadie McKeown ,Atalia Howe,Danielle Donnelly,Ali Gandarias-Solis","The Community Preservation Corporation, S3 Strategic Solutions","Buildings & Affordable Housing,Infrastructure,Equity & EJ",Existing authority,Fund no-fund option,,"HUD,EPA,DOE,TREAS,DOC,OMB",Establish HUD-Led Interagency Commission to Create Rules That Require All Federally Funded Multi-Family Facilities to Meet Audited Decarbonization Targets to Retain Federal Funding_docx.pdf (https://dl.airtable.com/.attachments/9c019d38f126011c7ce9cb6033ba5058/cec3bbb6/EstablishHUD-LedInteragencyCommissiontoCreateRulesThatRequireAllFederallyFundedMulti-FamilyFacilitiestoMeetAuditedDecarbonizationTargetstoRetainFederalFunding_docx.pdf),
"Investment Tax Credit for Energy Storage at EV chargers and Commercial buildings
","Jeff Wolfe,Vanessa Tutos,Brian Zelis","Veloce Energy, EDP Renewables, Fermata Energy","Energy,Infrastructure,Auto & Transport",New legislation,Funding,Tax Credit,"TREAS,DOT,FERC",Investment Tax Credit for Energy Storage at EV chargers and Commercial buildings.docx.pdf (https://dl.airtable.com/.attachments/230b31b9b853b3ff6eee61ae13fb7949/ba11608c/InvestmentTaxCreditforEnergyStorageatEVchargersandCommercialbuildings.docx.pdf),
"Alternative “Make Ready” programs for Energy Storage at EV chargers
","Jeff Wolfe,Vanessa Tutos,Brian Zelis","Veloce Energy, EDP Renewables, Fermata Energy","Energy,Infrastructure,Auto & Transport",New legislation,Funding,,"FERC,DOT",Alternative “Make Ready” programs for Energy Storage at EV chargers.docx (1).pdf (https://dl.airtable.com/.attachments/45dc7ed81f226789c8aa64f388fb55da/4cd62181/AlternativeMakeReadyprogramsforEnergyStorageatEVchargers.docx1.pdf),
"Disappearing Fuel Carbon Tax
",Joanne Ivancic,Advanced Biofuels USA,"Auto & Transport,Energy,Equity & EJ",New legislation,No funding,,"DOT,DOE,USDA",Disappearing Fuel Carbon Tax.docx.pdf (https://dl.airtable.com/.attachments/4528f3151a54c3625250ebc43410493f/b748e4d2/DisappearingFuelCarbonTax.docx.pdf),
"Increase allotted funding for women and BIPOC-run businesses
","Anna Lising,Laurie Wiegand,Jeanette Pablo","Clean Energy for Biden, Utility Advantage, Energy Futures Initiative (submitting in personal capacity), ex-DOE",Equity & EJ,Existing authority,Fund no-fund option,Procurement,"GSA,SBA",Dedicate a percentage of Administration proposed funding streams to increasing investment in women- and BIPOC-owned businesses to address gender and racial inequity.docx.pdf (https://dl.airtable.com/.attachments/2c5227ae883b378fb741205f6e7ff6ff/5e4f7873/DedicateapercentageofAdministrationproposedfundingstreamstoincreasinginvestmentinwomen-andBIPOC-ownedbusinessestoaddressgenderandracialinequity.docx.pdf),
"Require organizations receiving federal subsidies and grants to enhance and disclose company diversity metrics
","Anna Lising,Laurie Wiegand,Jeanette Pablo","Clean Energy for Biden, Utility Advantage, Energy Futures Initiative (submitting in personal capacity), ex-DOE",Equity & EJ,Executive order,No funding,,"SBA,USDA,HHS,DOC,WH",Require organizations receiving federal subsidies and grants to enhance and disclose company diversity metrics.docx.pdf (https://dl.airtable.com/.attachments/9c787272df69bd577d2b19c223eb20a7/b3eb15db/Requireorganizationsreceivingfederalsubsidiesandgrantstoenhanceanddisclosecompanydiversitymetrics.docx.pdf),
Speeding the Deployment of Deep Energy Retrofits,Greg Hale,NYSERDA,"Buildings & Affordable Housing,Manufacturing & Onshoring","New legislation,New regulations,Executive order",Fund no-fund option,"Stimulus,Tax Credit,Potential Reconciliation","DOE,HUD,DOD,GSA,TREAS,DOC,WH",Speeding The Deployment Of Deep Energy Retrofits .docx.pdf (https://dl.airtable.com/.attachments/6a95a86f5c87cfd829fe8d0759388dca/77d78065/SpeedingTheDeploymentOfDeepEnergyRetrofits.docx.pdf),
"Water we waiting for? Water conservation incentives for residential and commercial buildings

",Dave Epstein,Epstein Advisors,Buildings & Affordable Housing,New legislation,Fund no-fund option,Tax Credit,"TREAS,DOE,EPA",Water conservation incentives for residential and commercial buildings.docx.pdf (https://dl.airtable.com/.attachments/cdc4d6c06444d629ee961483980cd154/5617aaa3/Waterconservationincentivesforresidentialandcommercialbuildings.docx.pdf),
"Creating a 2050 national siting strategy for the substantial volume of interior resources (private land) required to achieve the Biden administration’s climate mitigation goals
",Ray Henger,sPower,"Energy,Infrastructure",Existing authority,No funding,Taskforce,"DOI,WH",Creating a 2050 national siting “acceleration”strategy for the substantial volume of private land required to achieve the Biden administration’s climate mitigation goals.docx.pdf (https://dl.airtable.com/.attachments/4fe1f44291a52363f9312864ebb8a558/ef20b764/Creatinga2050nationalsitingaccelerationstrategyforthesubstantialvolumeofprivatelandrequiredtoachievetheBidenadministrationsclimatemitigationgoals.docx.pdf),
Carbon Fee and Dividend or Carbon Cash Back,Jeff Eckel,Hannon Armstrong,"Energy,Circular Economy  ,Manufacturing & Onshoring",New legislation,No funding,,"TREAS,DOC",Carbon Fee and Dividend or Carbon Cash Back.docx.pdf (https://dl.airtable.com/.attachments/bbe10839ce0e5d233d37b0b343262292/94327c1a/CarbonFeeandDividendorCarbonCashBack.docx.pdf),
National Nature Service: rapidly create thousands of greens jobs while restoring America’s natural capital,"""Mike Clarke, Ph.D.""",Institute for European Environmental Policy (IEEP),"Conservation & Ag.,Food Systems,Equity & EJ",New legislation,Funding,"Job Training,Stimulus","USDA,DOI,DOL",National Nature Service_ rapidly create thousands of greens jobs while restoring America’s natural capital_docx.pdf (https://dl.airtable.com/.attachments/bdc06eb5c50316444c72450b37260e28/5afa0343/NationalNatureService_rapidlycreatethousandsofgreensjobswhilerestoringAmericasnaturalcapital_docx.pdf),National_Nature_Service_Overview_and_Plan_23.09.2020_1.pdf (https://dl.airtable.com/.attachments/dd1127e76c5c986995465b0ef3790658/3513211d/National_Nature_Service_Overview_and_Plan_23.09.2020_1.pdf)
"Spurring domestic manufacturing of innovative, high performance, and high margin wood-based building components to sequester carbon and lower pervasive forest fire risk
","""Josh Henry, Ph.D.""",Go Lab,"Buildings & Affordable Housing,Circular Economy  ,Conservation & Ag.","New regulations,New legislation",Funding,"Tax Credit,Potential Reconciliation","EPA,HUD,USDA,DOE,TREAS,DOC","""Spurring domestic manufacturing of innovative, high performance, and high margin wood-based building components to sequester carbon and lower pervasive forest fire risk.  .docx.pdf (https://dl.airtable.com/.attachments/5746fa33e2eb267e1c257b28fcf7e8b9/56bb3ea9/Spurringdomesticmanufacturingofinnovativehighperformanceandhighmarginwood-basedbuildingcomponentstosequestercarbonandlowerpervasiveforestfirerisk..docx.pdf)""",
"Federal Blue Ribbon Commission to Explore Municipal Airport Electrification
",Tom Soto,"Diverse Communities Impact Fund, ex-DOS","Equity & EJ,Shipping & Aviation",Existing authority,No funding,Taskforce,"DOT,EPA,WH",Federal Blue Ribbon Commission to Explore Municipal Airport Electrification.docx (1).pdf (https://dl.airtable.com/.attachments/bcf27a797f9fcf0d59955ae5ccd8d373/239785b6/FederalBlueRibbonCommissiontoExploreMunicipalAirportElectrification.docx1.pdf),
"Direct Federal Agencies to Track and Reduce Food Waste
",Dana Gunders,ReFED,"Food Systems,Conservation & Ag.,Circular Economy  ",Executive order,Funding,Procurement,"GSA,DOD,WH",Direct Federal Agencies to Track and Reduce Food Waste.docx.pdf (https://dl.airtable.com/.attachments/80e16964cd31105099cc1a0ea30b48e0/d752be8d/DirectFederalAgenciestoTrackandReduceFoodWaste.docx.pdf),
"Incentives for states to reduce the amount of organic waste going to landfills
",Dana Gunders,ReFED,"Food Systems,Conservation & Ag.,Circular Economy  ",New legislation,Funding,Fed/State Partners. ,USDA,Incentives for states to reduce the amount of organic waste going to landfills.docx.pdf (https://dl.airtable.com/.attachments/ead199ff35875cd57be6ff81d278d0d9/0f7c40f1/Incentivesforstatestoreducetheamountoforganicwastegoingtolandfills.docx.pdf),
"Mandate Building Energy Disclosure and Resilience Assessments
","""Veronique Bugnion, Ph.D."",Michelle Malanca-Frey","ClearlyEnergy, Urban Land Institute",Buildings & Affordable Housing,New legislation,No funding,,"EPA,FEMA",CLEEN Building Disclosure Mandates.docx.pdf (https://dl.airtable.com/.attachments/e313022a2ffd9f9adda1c68ced8708ae/4c020f97/CLEENBuildingDisclosureMandates.docx.pdf),
"Improving circularity of products to reduce GHG emissions
","Céline Charveriat,Thorfinn Stainforth,Jesus Urios,Antoine Lucic",Institute for European Environmental Policy (IEEP),"Circular Economy  ,Manufacturing & Onshoring",New regulations,No funding,International Partners.,"EPA,DOC,DOS",Improving circularity of products to reduce GHG emissions_docx.pdf (https://dl.airtable.com/.attachments/f77746835bd7a7333f47f4c77240f005/cb66bcdb/ImprovingcircularityofproductstoreduceGHGemissions_docx.pdf),
GSE support for Commercial PACE Financing to upgrade America’s buildings,Jessica Bailey,Greenworks Lending,"Buildings & Affordable Housing,Energy,Equity & EJ",Existing authority,No funding,,HUD,GSE support for Commercial PACE Financing to upgrade America’s buildings_docx.pdf (https://dl.airtable.com/.attachments/e9e9dec7c2a172b902963d284c7dedf6/0eff093f/GSEsupportforCommercialPACEFinancingtoupgradeAmericasbuildings_docx.pdf),List of Consenting Lenders - 12_2019.pdf (https://dl.airtable.com/.attachments/587b6e18c982545e0939161d1f8044cb/4d56efd8/ListofConsentingLenders-12_2019.pdf)
"Break Free From Plastic—Pass H.R. 5845
",David Levine,American Sustainable Business Council,Circular Economy  ,New legislation,No funding,,EPA,Break Free From Plastic.docx.pdf (https://dl.airtable.com/.attachments/f04b2ad0535bd3999cd9b4a8cceee980/37b3cb5f/BreakFreeFromPlastic.docx.pdf),
"Resiliency Project: Solar and Storage Infrastructure for Critical Facilities
",Dawn Weisz,Marin Community Energy,"Infrastructure,Energy",New legislation,Funding,"Stimulus,Resilience",DOE,Resiliency Project_ Solar and Storage Infrastructure for Critical Facilities.docx (1).pdf (https://dl.airtable.com/.attachments/e33aae7c942be3268ae89c85267da6f1/b02779f6/ResiliencyProject_SolarandStorageInfrastructureforCriticalFacilities.docx1.pdf),
Incentivize solar-ready roofs with a two-part tax credit,"Frank Oudheusden,Christopher Needham",FCX Solar,"Energy,Buildings & Affordable Housing,Infrastructure",New legislation,Funding,"Tax Credit,Potential Reconciliation",DOE,Incentivize solar-ready roofs with a two-part tax credit_docx.pdf (https://dl.airtable.com/.attachments/eb0a886e2cc88279741ee1d491745d21/d99d0815/Incentivizesolar-readyroofswithatwo-parttaxcredit_docx.pdf),
"Low Income Solar, Storage, and Job Training Incentives
","Erika Symmonds,Andie Wyatt,Stan Greschner,Tom Figel",GRID Alternatives,"Energy,Equity & EJ,Buildings & Affordable Housing",New legislation,Fund no-fund option,Job Training,DOE,"""Low Income Solar, Storage, and Job Training Incentives.docx.pdf (https://dl.airtable.com/.attachments/0450b694dabf472d0a06e4a3c9f23b29/48792fef/LowIncomeSolarStorageandJobTrainingIncentives.docx.pdf)""",
"Buying Back Better: Electrifying America’s Mail Trucks  - Choosing EVs For Over 150,000 Post Office Next Generation Delivery Vehicles (NGDVs)
",Gregory Staple,RPD Energy,"Auto & Transport,Manufacturing & Onshoring,Energy",Existing authority,No funding,Procurement,"USPS,WH","""Buying Back Better_ Electrifying America’s Mail Trucks  - Choosing EVs For Over 150,000 Post Office Next Generation Delivery Vehicles (NGDVs).docx (1).pdf (https://dl.airtable.com/.attachments/9322a61a9710f590288be78069e88dd1/8c2688c7/BuyingBackBetter_ElectrifyingAmericasMailTrucks-ChoosingEVsForOver150000PostOfficeNextGenerationDeliveryVehiclesNGDVs.docx1.pdf)""",
"Smart City Infrastructure Interoperability Task Force (SSIITF)
","Jessica O. Matthews,Bill Pugh ,David Howard ,Travis Shanahan,Sidney Hong,Marcus Schiller","Uncharted Power, Thing-Hub,  Edge Intelligence","Infrastructure,Innovation,Equity & EJ",Existing authority,No funding,Taskforce,"DOE,DHS,DOT,EPA,NSF,DOD,FCC,WH,DOC",Smart City Infrastructure Interoperability Task Force (SSIITF)_docx.pdf (https://dl.airtable.com/.attachments/2c5545630b4010086345d279a42664cb/6117dea4/SmartCityInfrastructureInteroperabilityTaskForceSSIITF_docx.pdf),
"Race to the Top to Electrify 100 Communities and Demonstrate the Future
","Adam Zurofsky,Alex Laskey,Ari Matusiak,Tony Curnes","Rewiring America, Purpose Ventures
","Auto & Transport,Energy,Infrastructure","Existing authority,New legislation",Funding,"Fed/State Partners. ,Challenges/Awards,Potential Reconciliation,Resilience",DOE,Race to the Top to Electrify 100 Communities and Demonstrate the Future_docx.pdf (https://dl.airtable.com/.attachments/aa5d98d00822323fb91530f555f1c800/34e3b365/RacetotheToptoElectrify100CommunitiesandDemonstratetheFuture_docx.pdf),
"Electrifying US Transportation: Federal and corporate fleet electrification commitments supplemented with a zero-emission vehicle (ZEV) sale target for new passenger vehicles by 2030.
","Helen Clarkson,Vartan Badalian",The Climate Group,"Auto & Transport,Energy",Executive order,No funding,"WH Press,Procurement,Challenges/Awards","WH,EPA,DOT",Electrifying US Transportation_ Federal and corporate fleet electrification commitments supplemented with a zero-emission vehicle (ZEV) sale target for new passenger vehicles by 2030.docx.pdf (https://dl.airtable.com/.attachments/c2988bd8ce65c0a9b3c61e9facea94b7/e1f68827/ElectrifyingUSTransportation_Federalandcorporatefleetelectrificationcommitmentssupplementedwithazero-emissionvehicleZEVsaletargetfornewpassengervehiclesby2030.docx.pdf),
Mandatory Electrification of Government Fleets Through Section 141 of the Energy Independence and Security Act of 2007 (EISA 2007) Federal Vehicle Fleets and Low Greenhouse Gas-Emitting Vehicles Rulemaking,"Levi Tillemann,Khaled Hassounah,John DeSouza","Ample Inc

","Auto & Transport,Energy,Infrastructure","Executive order,Existing authority",No funding,"WH Press,Procurement","WH,EPA",Mandatory Electrification of Government Fleets Through Section 141 of the Energy Independence and Security Act of 2007 (EISA 2007) Federal Vehicle Fleets and Low Greenhouse Gas-Emitting Vehicles Rulemaking.docx.pdf (https://dl.airtable.com/.attachments/f504f52b5904c28ba632ef3aa6bd3a49/782a3b1d/MandatoryElectrificationofGovernmentFleetsThroughSection141oftheEnergyIndependenceandSecurityActof2007EISA2007FederalVehicleFleetsandLowGreenhouseGas-EmittingVehiclesRulemaking.docx.pdf),
"Accelerating the Deployment of Next Generation Battery Swap EV Charging Infrastructure 
","Levi Tillemann,Khaled Hassounah,John DeSouza",Ample Inc,"Auto & Transport,Energy,Infrastructure","New legislation,New regulations",Fund no-fund option,"Stimulus,Potential Reconciliation","EPA,DOE,DOT",Accelerating the Deployment of Next Generation EV Charging Infrastructure.docx.pdf (https://dl.airtable.com/.attachments/a3b1a82b03cf9cc1da55b6e0d2287d78/1461dbd3/AcceleratingtheDeploymentofNextGenerationEVChargingInfrastructure.docx.pdf),
"National PV Recycling Legislation Modeled After EU Program
","Sam Vanderhoof,Peter Beadle,Gary Shaver",Recycle PV Solar,"Circular Economy  ,Energy,Manufacturing & Onshoring",New legislation,Funding,,"EPA,DOE",The Need for Comprehensive National PV Recycling Legislation.docx (1).pdf (https://dl.airtable.com/.attachments/c32ce8ea079ef6acf562592379fedabf/127cb5de/TheNeedforComprehensiveNationalPVRecyclingLegislation.docx1.pdf),
"A program to plug and remediate every documented orphan well in the country coupled with policies to help deter the possibility of future orphaned wells
","Adam Peltz,Raisa Orleans",Environmental Defense Fund,Energy,New legislation,Funding,Stimulus,"DOE,DOI",A program to plug and remediate every documented orphan well in the country coupled with policies to help deter the possibility of future orphaned wells.docx.pdf (https://dl.airtable.com/.attachments/c3e116181d6c20f410daad91cbf452d2/e34741ac/Aprogramtoplugandremediateeverydocumentedorphanwellinthecountrycoupledwithpoliciestohelpdeterthepossibilityoffutureorphanedwells.docx.pdf),
"DOE-led public-private partnership program to accelerate distribution grid infrastructure to support job creation, equity, and resiliency
",Brian Fitzsimons,GridUnity,"Energy,Infrastructure,Auto & Transport",New legislation,Funding,"Stimulus,Pub/Priv Partners.","DOE,DOC,DOT",CLEEN_grid_infrastructure_PPP_2021_02_12.docx.pdf (https://dl.airtable.com/.attachments/e59d8b4600f52ad5a98985df24022ad3/9277669f/CLEEN_grid_infrastructure_PPP_2021_02_12.docx.pdf),CLEEN_grid_infrastructure_PPP_supporting_details.docx.pdf (https://dl.airtable.com/.attachments/712218c3e7cd32b3b613752afbaf60df/20ab5393/CLEEN_grid_infrastructure_PPP_supporting_details.docx.pdf)
"The President’s Green Future Awards: recognizing excellent clean product innovation for a resilient green economy
",Jessica Thompson,"Samadhi Trading Company, LLC",Circular Economy  ,Existing authority,Funding,"Challenges/Awards,WH Press",WH,The President’s Green Future Awards_ recognizing excellent clean product innovation for a resilient green economy.docx.pdf (https://dl.airtable.com/.attachments/4481596e738872eece42ff1900ceaaa2/55d3bf13/ThePresidentsGreenFutureAwards_recognizingexcellentcleanproductinnovationforaresilientgreeneconomy.docx.pdf),
"DOE-Led Improved Marketing & Reach of ENABLE Performance Contracting Program to Drive Clean Energy Jobs and a Net Zero Future
",Brad Dockser,Green Generation Solutions,"Buildings & Affordable Housing,Energy",Existing authority,Fund no-fund option,"Pub/Priv Partners.,Fed/State Partners. ","GSA,FEMA,DOE",DOE-Led Improved Marketing & Reach of ENABLE Performance Contracting Program to Drive Clean Energy Jobs and a Net Zero Future.docx.pdf (https://dl.airtable.com/.attachments/0453bf5b5b14bc44cb816dc2fc9588ad/7b7bc4b3/DOE-LedImprovedMarketingReachofENABLEPerformanceContractingProgramtoDriveCleanEnergyJobsandaNetZeroFuture.docx.pdf),
"Urban Smart Surfaces: federal investment in reflective and porous surfaces, green roofs, trees, and solar PV to combat climate change, increase city and town reflectivity, permeability, and equity and environmental justice ","Greg Kats,Jad Daley,Georges Benjamin,Cooper Martin,Vivian Loftness,Julie T. Katzman,Brendan Shane,Tracy Wolstencraft,Frank Loy","Smart Surfaces Coalition, American Forests, American Public Health Association, National League of Cities, Trust for Public Land, ex-DOS, ex-DOE","Buildings & Affordable Housing,Infrastructure,Equity & EJ",New legislation,Funding,"Stimulus,Resilience","TREAS,DOT,DOE,HUD,DOI,GSA",Urban Smart Surfaces $50B 3-1.pdf (https://dl.airtable.com/.attachments/8ecd63d300e789d742d7a5476e87f3d8/7e5837ac/UrbanSmartSurfaces50B3-1.pdf),Urban Smart Surfaces- $50B - Supplemental Document (R).docx.pdf (https://dl.airtable.com/.attachments/d1b1f2664c9fd109bd894303ec369192/b81142e7/UrbanSmartSurfaces-50B-SupplementalDocumentR.docx.pdf)
"Mitigating Catastrophic Wildfires with Science-Based Grazing Management Strategies
",Albert Straus,Straus Family Creamery,"Conservation & Ag.,Food Systems","Existing authority,New legislation",Fund no-fund option,"Pub/Priv Partners.,Resilience","DOI,USDA",Mitigating Catastrophic Wildfires with Science-Based Grazing Management Strategies.docx.pdf (https://dl.airtable.com/.attachments/ea34423b98b9d332088baf9ea05652ee/429795ed/MitigatingCatastrophicWildfireswithScience-BasedGrazingManagementStrategies.docx.pdf),
"Catalyzing Domestic Organic Sugar Production to Create Human, Economic, and Environmental Benefits","Tyler Huggins,Susan Morrell",Meati,"Conservation & Ag.,Food Systems","Existing authority,New legislation",Fund no-fund option,,USDA,2.17.21 CLEEN Proposal - Meati Foods.pdf (https://dl.airtable.com/.attachments/21d4d65af5c9e2bb4cc71d92b80f1f86/60a55da0/2.17.21CLEENProposal-MeatiFoods.pdf),
Investment Tax Credit for Stand Alone Energy Storage,"Ted Berdacke,Tom Habashi","Clean Power Alliance, Central Coast Community Energy","Energy,Infrastructure",New legislation,Funding,Tax Credit,TREAS,Investment Tax Credit for Stand Alone Energy Storage.docx.pdf (https://dl.airtable.com/.attachments/db4d83ae6cb336f4d63849dfe00c82ca/1c708058/InvestmentTaxCreditforStandAloneEnergyStorage.docx.pdf),
Aviation Build Back Better Leadership Coalition,Jennifer Macedonia,"JLM Consulting, ex-EPA",Shipping & Aviation,Existing authority,No funding,"WH Press,Pub/Priv Partners.,Challenges/Awards,International Partners.","WH,DOE,EPA,DOT",Aviation Build Back Better Leadership Coalition.docx.pdf (https://dl.airtable.com/.attachments/3b4edb622679170d6c55d662e0e108d9/d3974e20/AviationBuildBackBetterLeadershipCoalition.docx.pdf),
Require federal procurement of carbon-neutral or carbon-negative concrete to sequester carbon and create domestic jobs,"Greg Kats,Jad Daley,Georges Benjamin,Cooper Martin,Vivian Loftness,Julie T. Katzman,Brendan Shane,Tracy Wolstencraft,Frank Loy",Smart Surfaces Coalition,Heavy Industry,"Existing authority,New legislation",No funding,Procurement,"WH,GSA,DOT",Require federal procurement of carbon-neutral or carbon-negative concrete to sequester carbon and create domestic jobs.docx.pdf (https://dl.airtable.com/.attachments/85437358b9eb9225ffe4c8de3db19889/41dfa2cf/Requirefederalprocurementofcarbon-neutralorcarbon-negativeconcretetosequestercarbonandcreatedomesticjobs.docx.pdf),
"White House Convened City Mentoring Program for Carbon Neutrality Driven by Peer-to-Peer Model
",Anja Bierwirth,"Wuppertal Institute for Climate, Environment, and Energy","Buildings & Affordable Housing,Innovation,Infrastructure",Existing authority,No funding,"WH Press,Fed/State Partners. ,Challenges/Awards",WH,White House Convened City Mentoring Program for Carbon Neutrality Driven by Peer-to-Peer Model.docx.pdf (https://dl.airtable.com/.attachments/31817a45e433d8aab1c5d8d4e9bec9ef/0b94d11c/WhiteHouseConvenedCityMentoringProgramforCarbonNeutralityDrivenbyPeer-to-PeerModel.docx.pdf),
"A National PSA and Call to Action Campaign: A Mass Public-Private Partnership to Build Support for Clean Energy for All Americans
",Verena Radulovic,"Center for Climate and Energy Solutions, ex-EPA (submitting in personal capacity)","Energy,Equity & EJ,Infrastructure",Existing authority,Fund no-fund option,WH Press,WH,A National PSA and Call to Action Campaign_ A Mass Public-Private Partnership to Build Support for Clean Energy for All Americans.docx.pdf (https://dl.airtable.com/.attachments/772109eaaa5bb78d98c6fb205633ed8a/06fe95e7/ANationalPSAandCalltoActionCampaign_AMassPublic-PrivatePartnershiptoBuildSupportforCleanEnergyforAllAmericans.docx.pdf),
Renewables Cash Grant in Lieu of a PTC/ITC,"Matthew Cox,Roshan Kansagra",Powder Day Capital,Energy,New legislation,Fund no-fund option,,TREAS,Renewables Cash Grant in Lieu of a PTC_ITC.docx.pdf (https://dl.airtable.com/.attachments/c21cbbec0b4ef8f48885e2f76ad4ec34/f5981ba7/RenewablesCashGrantinLieuofaPTC_ITC.docx.pdf),
Open Source Digital Infrastructure for Climate Data to Empower Climate Action,"Florian Doebler,Matthew Yarger,Corey Sheft-Tannenbaum",IOTA Foundation,"Infrastructure,Energy","Existing authority,New legislation",Funding,,"DOE,EPA,DOT,FERC",Open Source Digital Infrastructure for Climate Action Empowerment_docx.pdf (https://dl.airtable.com/.attachments/89b2bfaf10450647531b511bf30d225c/678328cf/OpenSourceDigitalInfrastructureforClimateActionEmpowerment_docx.pdf),
Issue Smaller-Dollar Commercialization Assistance Loans through DOE Loan Programs Office,Lynn Abramson,Clean Energy Business Network,Energy,"Existing authority,New legislation",No funding,,DOE,LPO Access for Small Businesses.docx.pdf (https://dl.airtable.com/.attachments/cba6e5d3678b3a45098a661508c38ae6/e50bb863/LPOAccessforSmallBusinesses.docx.pdf),Explanation of Costs - LPO Proposal.pdf (https://dl.airtable.com/.attachments/810b7a539395f20e200794941ff771fd/a24eaa4b/ExplanationofCosts-LPOProposal.pdf)
